,title,price,link_item,index,discount,sales,category
20,Máy tính bảng Kindle File HD 8 (10th generation - 2020) Hàng nhập khẩu,2.250.000₫,https://tiki.vn/may-tinh-bang-kindle-file-hd-8-10th-generation-2020-hang-nhap-khau-p173557858.html?spid=173557860,21,,Đã bán 61,maytinhbang
21,Máy tính bảng Samsung Galaxy Tab A8 (3GB/32GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,3.990.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-3gb-32gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p263278939.html?spid=263278943,22,,Đã bán 6,maytinhbang
22,Máy tính bảng Samsung Galaxy Tab S9 5G (8GB/128GB) - Hàng Chính Hãng,15.990.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s9-5g-8gb-128gb-hang-chinh-hang-p271163098.html?spid=271163107,23,,Đã bán 1,maytinhbang
23,Máy tính bảng Vankyo MatrixPad Z10 - Hàng Chính Hãng,2.990.000₫,https://tiki.vn/may-tinh-bang-vankyo-matrixpad-z10-hang-chinh-hang-p72310352.html?spid=72310353,24,,Đã bán 13,maytinhbang
24,Máy Tính Bảng OPPO Pad Air (4GB/64GB) | Màn Hình 2K 1 tỷ Màu | Chip Snapdragon 680 | Hàng Chính Hãng,5.490.000₫,https://tiki.vn/may-tinh-bang-oppo-pad-air-4gb-64gb-man-hinh-2k-1-ty-mau-chip-snapdragon-680-hang-chinh-hang-p194498804.html?spid=194498806,25,,Đã bán 4,maytinhbang
25,Điện thoại Samsung Galaxy S23 Plus 5G (8GB/256GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,15.290.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-5g-8gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p273549561.html?spid=273549657,26,,Đã bán 5,maytinhbang
26,Máy tính bảng VNPT Technology VNT Tab8 Plus 8 Inch Android 11 RAM 4GB - Hàng chính hãng,3.146.000₫,https://tiki.vn/may-tinh-bang-vnpt-technology-vnt-tab8-8-inch-android-11-ram-3gb-hang-viet-nam-chinh-hang-p162866839.html?spid=162866840,27,,Đã bán 14,maytinhbang
27,Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng nhập khẩu,3.590.000₫,https://tiki.vn/may-tinh-bang-kindle-fire-hd10-2023-13th-32gb-hang-nhap-khau-p273559020.html?spid=273559024,28,,,maytinhbang
28,Máy tính bảng Samsung Galaxy Tab S8 Ultra 8GB/128GB - Hàng chính hãng,30.000.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-ultra-8gb-128gb-hang-chinh-hang-p194523288.html?spid=208289182,29,,,maytinhbang
29,Máy Tính Bảng Samsung Galaxy Tab A8 2022 (3GB/32GB) - Hàng Chính Hãng,4.392.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-2022-3gb-32gb-hang-chinh-hang-p271822725.html?spid=271822727,30,,,maytinhbang
